"region","år","fastighetstyp",Köpeskilling för småhus, medelvärde i tkr
"0331 Heby","2015","permanentbostad (ej tomträtt)",1127
"0331 Heby","2016","permanentbostad (ej tomträtt)",1289
"0331 Heby","2017","permanentbostad (ej tomträtt)",1464
"0360 Tierp","2012","permanentbostad (ej tomträtt)",1056
"0360 Tierp","2013","permanentbostad (ej tomträtt)",987
"0360 Tierp","2014","permanentbostad (ej tomträtt)",1165
"0360 Tierp","2015","permanentbostad (ej tomträtt)",1284
"0360 Tierp","2016","permanentbostad (ej tomträtt)",1459
"0360 Tierp","2017","permanentbostad (ej tomträtt)",1507
"0380 Uppsala","2012","permanentbostad (ej tomträtt)",3059
"0380 Uppsala","2013","permanentbostad (ej tomträtt)",3206
"0380 Uppsala","2014","permanentbostad (ej tomträtt)",3431
"0380 Uppsala","2015","permanentbostad (ej tomträtt)",3729
"0380 Uppsala","2016","permanentbostad (ej tomträtt)",4087
"0380 Uppsala","2017","permanentbostad (ej tomträtt)",4038
"0381 Enköping","2012","permanentbostad (ej tomträtt)",1988
"0381 Enköping","2013","permanentbostad (ej tomträtt)",2050
"0381 Enköping","2014","permanentbostad (ej tomträtt)",2184
"0381 Enköping","2015","permanentbostad (ej tomträtt)",2473
"0381 Enköping","2016","permanentbostad (ej tomträtt)",2677
"0381 Enköping","2017","permanentbostad (ej tomträtt)",2978
"0382 Östhammar","2012","permanentbostad (ej tomträtt)",1420
"0382 Östhammar","2013","permanentbostad (ej tomträtt)",1359
"0382 Östhammar","2014","permanentbostad (ej tomträtt)",1699
"0382 Östhammar","2015","permanentbostad (ej tomträtt)",1691
"0382 Östhammar","2016","permanentbostad (ej tomträtt)",2015
"0382 Östhammar","2017","permanentbostad (ej tomträtt)",1990
"0428 Vingåker","2012","permanentbostad (ej tomträtt)",826
"0428 Vingåker","2013","permanentbostad (ej tomträtt)",956
"0428 Vingåker","2014","permanentbostad (ej tomträtt)",1015
"0428 Vingåker","2015","permanentbostad (ej tomträtt)",1019
"0428 Vingåker","2016","permanentbostad (ej tomträtt)",1223
"0428 Vingåker","2017","permanentbostad (ej tomträtt)",1377
"0461 Gnesta","2012","permanentbostad (ej tomträtt)",2071
"0461 Gnesta","2013","permanentbostad (ej tomträtt)",2019
"0461 Gnesta","2014","permanentbostad (ej tomträtt)",2101
"0461 Gnesta","2015","permanentbostad (ej tomträtt)",2163
"0461 Gnesta","2016","permanentbostad (ej tomträtt)",2353
"0461 Gnesta","2017","permanentbostad (ej tomträtt)",2589
"0480 Nyköping","2012","permanentbostad (ej tomträtt)",1910
"0480 Nyköping","2013","permanentbostad (ej tomträtt)",1939
"0480 Nyköping","2014","permanentbostad (ej tomträtt)",2024
"0480 Nyköping","2015","permanentbostad (ej tomträtt)",2258
"0480 Nyköping","2016","permanentbostad (ej tomträtt)",2674
"0480 Nyköping","2017","permanentbostad (ej tomträtt)",2739
"0481 Oxelösund","2012","permanentbostad (ej tomträtt)",1342
"0481 Oxelösund","2013","permanentbostad (ej tomträtt)",1369
"0481 Oxelösund","2014","permanentbostad (ej tomträtt)",1438
"0481 Oxelösund","2015","permanentbostad (ej tomträtt)",1819
"0481 Oxelösund","2016","permanentbostad (ej tomträtt)",2091
